Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
Apple_11566407038,mac,,,其它,128GB SSD,13.3英寸,>8小时,0,7888.00
Apple_12777046909,mac,,,其它,,13.3英寸,其它,5,6188.00
Apple_13019040750,mac,酷睿双核i5处理器其它　1.8GHz,,其它,128GB SSD,13.3英寸,5-8小时,具体信息以官方数据为准,6188.00
Apple_13240247099,mac,,,其它,,13.3英寸,其它,0,9288.00
Apple_14680841221,mac,酷睿双核i5处理器1.8GHz,,其它,128GB SSD,13.3英寸,5-8小时,1.35 千克,6188.00
Apple_21235096374,mac,,,其它,,13.3英寸,5-8小时,1-1.5KG,9288.00
Apple_24350743427,mac,,,其它,,13.3英寸,其它,1-1.5kg,7788.00
Apple_30313710795,mac,酷睿双核i5处理器i5-7360U2.3GHz,8GB,其它,128GB SSD,13.3英寸,5-8小时,以官网数据为准,12488.00
Apple_30567087845,mac,,,其它,,13.3英寸,其它,0,13988.00
Apple_4331151,mac,Intel 第7代 酷睿2.3GHz,8GB,其它,128GB SSD,13.3英寸,>8小时,<1.5kg,10200.00
Apple_4335021,mac,Intel 第7代 酷睿2.3GHz,8GB,其它,128GB SSD,13.3英寸,>8小时,<1.5kg,10200.00
Apple_4335105,mac,Intel 第7代 酷睿1.3GHz,,其它,512GB SSD,其它,>8小时,<1.5kg,12182.00
Apple_4335139,mac,第五代智能英特尔酷睿i5处理器1.8GHz,,其它,256GB SSD,13.3英寸,>8小时,<1.5kg,8415.00
Apple_5225346,mac,第五代智能英特尔酷睿i5处理器1.8GHz,,其它,128GB SSD,13.3英寸,>8小时,<1.5kg,6928.00
Apple_7842695,mac,Intel 第8代 酷睿2.6GHz,16GB,其它,512GB SSD,15.4英寸,>8小时,1.83kg,21988.00
ThinkPad_100000757933,windows,i5-8250U1.6GHz睿频至3.4GHz,8GB,其它,512GB SSD,14.0英寸,5-8小时,约1.65kg,7899.00
ThinkPad_10879508261,windows,酷睿双核i5处理器i5-7200U,8GB,1TB,128GB SSD,12.5英寸,其它,约1.32KG,6999.00
ThinkPad_11222230146,windows,第七代智能英特尔酷睿i5处理器i5-7300HQ2.5GHz,8GB,1TB,128GB SSD,15.6英寸,其它,2.28kg,6999.00
ThinkPad_11476254408,windows,Intel 第8代 酷睿,4GB,其它,,14.0英寸,2-5小时,0,3999.00
ThinkPad_11860600093,windows,,8GB,其它,128GB SSD,13.3英寸,2-5小时,0,4499.00
ThinkPad_20994616393,windows,,,其它,,12.5英寸,2-5小时,约1.3kg,6488.00
ThinkPad_28540718576,windows,Intel 第8代 酷睿,其它,其它,,15.6英寸,5-8小时,1.9,8899.00
ThinkPad_3755883,windows,I5-7200U2.5GHz睿频至3.1GHz,8GB,其它,256GB SSD,13.3英寸,5-8小时,<1.5kg,5999.00
ThinkPad_4044001,windows,i7-7500U2.7GHz睿频至3.5GHz,8GB,其它,256GB SSD,14.0英寸,5-8小时,1-1.5kg,12599.00
ThinkPad_4594030,windows,A6-9500B2.3GHz-3.2GHz,8GB,其它,256GB SSD,14.0英寸,5-8小时,1.5-2.0kg,3999.00
ThinkPad_6076609,windows,Intel 第8代 酷睿i7-8550U1.8GHz睿频至4.0GHz,,1TB,128GB SSD,14.0英寸,5-8小时,约1.75kg,6588.00
ThinkPad_6379521,windows,Intel 第8代 酷睿i7-8550U1.8GHz睿频至4.0GHz,,其它,256GB SSD,15.6英寸,5-8小时,约2.12kg,7999.00
ThinkPad_6383824,windows,i5-8250U1.6GHz睿频至3.4GHz,8GB,其它,256GB SSD,14.0英寸,5-8小时,约1.13kg,9989.00
ThinkPad_6543079,windows,i5-8250U1.6GHz睿频至3.4GHz,8GB,其它,256GB SSD,12.5英寸,5-8小时,约1.3kg,7599.00
ThinkPad_6685410,windows,i7-8550U1.8GHz睿频至4.0GHz,8GB,1TB,128GB SSD,14.0英寸,5-8小时,约1.65kg,11499.00
