Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
Apple_11566407038,mac,1.8,8,1024,128,13.3,8,3,7888
Apple_12777046909,mac,1.8,8,1024,128,13.3,8,3.3,6188
Apple_13019040750,mac,1.8,8,1024,128,13.3,7,1.35,6188
Apple_13240247099,mac,1.8,8,1024,128,13.3,8,3,9288
Apple_14680841221,mac,1.8,8,1024,128,13.3,7,1.35,6188
Apple_21235096374,mac,1.8,8,1024,128,13.3,7,1.2,9288
Apple_24350743427,mac,1.8,8,1024,128,13.3,7,1.2,7788
Apple_30313710795,mac,2.3,8,1024,128,13.3,7,2.3,12488
Apple_30567087845,mac,2.3,8,1024,128,13.3,7,2.3,13988
Apple_4331151,mac,2.3,8,1024,128,13.3,8,1.5,10200
Apple_4335021,mac,2.3,8,1024,128,13.3,8,1.5,10200
Apple_4335105,mac,2.3,8,1024,512,13.3,8,1.5,12182
Apple_4335139,mac,1.8,8,1024,256,13.3,8,1.5,8415
Apple_5225346,mac,1.8,8,1024,128,13.3,8,1.5,6928
Apple_7842695,mac,2.6,16,1024,512,15.4,8,1.83,21988
ThinkPad_100000757933,windows,1.8,8,1024,512,14,7,1.65,7899
ThinkPad_10879508261,windows,1.8,8,1024,128,12.5,6,1.32,6999
ThinkPad_11222230146,windows,2.5,8,1024,128,15.6,6,2.28,6999
ThinkPad_11476254408,windows,1.8,4,512,0,14,4,2.3,3999
ThinkPad_11860600093,windows,1.8,8,1024,128,13.3,4,2.8,4499
ThinkPad_20994616393,windows,1.8,8,1024,256,12.5,4,2.36,6488
ThinkPad_28540718576,windows,1.8,16,1024,256,15.6,7,1.9,8899
ThinkPad_3755883,windows,2.5,8,1024,256,13.3,7,1.5,5999
ThinkPad_4044001,windows,2.5,8,1024,256,14,7,1.3,12599
ThinkPad_4594030,windows,2.5,8,1024,256,14,7,1.7,3999
ThinkPad_6076609,windows,2.5,8,1024,128,14,7,1.75,6588
ThinkPad_6379521,windows,2.5,8,1024,256,15.6,7,2.12,7999
ThinkPad_6383824,windows,2.5,8,1024,256,14,7,1.13,9989
ThinkPad_6543079,windows,2.5,8,1024,256,12.5,7,1.3,7599
ThinkPad_6685410,windows,2.5,8,1024,128,14,7,1.65,11499
ThinkPad_7588517,windows,2.5,8,1024,256,13.3,7,1.46,4999
ThinkPad_8025712,windows,2.5,8,1024,512,12.5,7,1.3,7699
ThinkPad_8596149,windows,2.5,8,512,0,14,7,1.78,4499
ThinkPad_8596151,windows,2.5,4,512,0,14,7,1.78,3299
三星_11404250423,windows,2.5,4,1024,128,15.6,4,1.98,2599
三星_11556091495,windows,2.5,4,512,128,15.6,4,1.98,3749
三星_29390608142,windows,2.5,4,512,128,14,7,1.8,3799
三星_7004220,windows,2.5,4,512,128,15.6,7,1.97,4799
三星_7004500,windows,2.5,4,512,0,15.6,7,1.95,2599
三星_7005296,windows,2.5,8,1024,128,15.6,7,1.97,4769
三星_7219095,windows,2.5,8,512,128,15.6,7,1.97,4199
三星_8249308,windows,2.5,8,1024,256,15.6,7,1.97,4299
三星_8461429,windows,2.5,8,1024,128,15.6,7,1.97,4399
华为_100001020297,windows,2.3,8,1024,256,14,7,1.45,3999
华为_100001281764,windows,2.3,8,1024,512,14,7,1.45,4699
华为_12704771446,windows,2.3,8,1024,256,12,8,2,6788
华为_12943624332,windows,2.3,8,1024,512,12,8,1.05,8588
华为_13020309101,windows,2.3,8,1024,128,15.6,8,1.9,5236
华为_13886852041,windows,2.3,8,1024,256,12,8,2,7188
华为_19432986830,windows,2.3,8,512,256,12,8,1.33,4988
华为_27116355738,windows,2.3,8,1024,256,12,7,1.33,8555
华为_27116355740,windows,2.3,8,1024,256,12,7,1.33,9855
华为_28694162118,windows,2.3,8,512,256,14,7,1.47,4999
华为_28694162119,windows,2.3,8,512,256,14,7,1.47,4999
华为_28975115707,windows,2.3,8,512,256,14,7,1.47,3899
华为_31204952899,windows,2,8,1024,512,14,7,1.47,4599
华为_33383855318,windows,2,8,1024,256,13,8,1.03,6888
华为_4224161,windows,2,4,1024,256,13,8,1.05,6188
华为_6023686,windows,2,8,1024,256,15.6,8,1.9,5188
华为_6736180,windows,2,8,1024,256,14,8,1.33,7988
华为_7042875,windows,2,8,1024,128,14,9,2.03,5988
华为_7275691,windows,2.8,8,1024,256,14,8,1.47,5699
华为_7602800,windows,2.8,8,1024,256,14,8,1.47,5699
华为_8248028,windows,2.3,8,1024,256,14,7,1.57,4599
华为_8603190,windows,2.3,16,1024,256,15.6,8,1.9,6488
华硕_100000018405,windows,2.3,4,512,256,13.3,7,1.25,3499
华硕_100000158780,windows,2.3,8,1024,512,14,7,1.4,5599
华硕_100001120978,windows,2.3,8,1024,512,14,8,1.21,6999
华硕_11547179904,windows,2.5,4,1024,128,13.3,7,1.21,4399
华硕_12275775824,windows,2.5,4,1024,128,15.6,3,1.21,4999
华硕_12275775844,windows,2.5,8,1024,0,15.6,3,1.21,4699
华硕_14714452653,windows,1.6,8,1024,128,14,7,1.21,4599
华硕_15895585883,windows,1.8,8,1024,256,15.6,3,2.3,5199
华硕_20228173988,windows,1.8,8,1024,256,14,7,1.42,4588
华硕_20446974627,windows,1.8,8,1024,128,15.6,4,2.3,4599
华硕_28064042365,windows,1.6,8,1024,128,14,4,1.4,4799
华硕_6224494,windows,1.6,8,1024,256,15.6,4,2,4599
华硕_6396373,windows,1.6,8,1024,128,14,7,1.3,5299
华硕_7174865,windows,1.8,8,1024,128,15.6,4,2.45,5199
华硕_8311692,windows,1.6,8,1024,512,15.6,7,1.8,5799
华硕_8636720,windows,1.6,4,1024,128,15.6,4,1.68,4299
华硕_8776188,windows,1.6,8,1024,128,13.3,7,1.25,4798
华硕_8848315,windows,1.6,8,1024,128,15.6,4,1.68,4599
宏碁_100000068454,windows,1.6,8,1024,128,15.6,7,2.1,4899
宏碁_100000074853,windows,1.6,4,512,0,15.6,7,2.23,3499
宏碁_100000233746,windows,1.6,8,512,256,14,8,1.6,4799
宏碁_100000319684,windows,1.6,4,512,256,13.3,8,1.3,4799
宏碁_100001269556,windows,2.7,4,512,128,11.6,8,1.52,2899
宏碁_11608675295,windows,1.6,8,512,256,14,8,1.52,4799
宏碁_11677933709,windows,1.6,4,512,128,13.3,8,1.3,3699
