Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
Apple_11566407038,1,1,2,2,2,1,3,3,1
Apple_12777046909,1,1,2,2,2,1,3,3,1
Apple_13019040750,1,1,2,2,2,1,2,1,1
Apple_13240247099,1,1,2,2,2,1,3,3,2
Apple_14680841221,1,1,2,2,2,1,2,1,1
Apple_21235096374,1,1,2,2,2,1,2,1,2
Apple_24350743427,1,1,2,2,2,1,2,1,1
Apple_30313710795,1,2,2,2,2,1,2,2,2
Apple_30567087845,1,2,2,2,2,1,2,2,2
Apple_4331151,1,2,2,2,2,1,3,1,2
Apple_4335021,1,2,2,2,2,1,3,1,2
Apple_4335105,1,2,2,2,4,1,3,1,2
Apple_4335139,1,1,2,2,3,1,3,1,1
Apple_5225346,1,1,2,2,2,1,3,1,1
Apple_7842695,1,3,3,2,4,2,3,1,3
ThinkPad_100000757933,2,1,2,2,4,2,2,1,1
ThinkPad_10879508261,2,1,2,2,2,1,2,1,1
ThinkPad_11222230146,2,2,2,2,2,3,2,2,1
ThinkPad_11476254408,2,1,1,1,1,2,1,2,1
ThinkPad_11860600093,2,1,2,2,2,1,1,3,1
ThinkPad_20994616393,2,1,2,2,3,1,1,2,1
ThinkPad_28540718576,2,1,3,2,3,3,2,2,2
ThinkPad_3755883,2,2,2,2,3,1,2,1,1
ThinkPad_4044001,2,2,2,2,3,2,2,1,2
ThinkPad_4594030,2,2,2,2,3,2,2,1,1
ThinkPad_6076609,2,2,2,2,2,2,2,1,1
ThinkPad_6379521,2,2,2,2,3,3,2,2,1
ThinkPad_6383824,2,2,2,2,3,2,2,1,2
ThinkPad_6543079,2,2,2,2,3,1,2,1,1
ThinkPad_6685410,2,2,2,2,2,2,2,1,2
ThinkPad_7588517,2,2,2,2,3,1,2,1,1
ThinkPad_8025712,2,2,2,2,4,1,2,1,1
ThinkPad_8596149,2,2,2,1,1,2,2,1,1
ThinkPad_8596151,2,2,1,1,1,2,2,1,1
三星_11404250423,2,2,1,2,2,3,1,2,1
三星_11556091495,2,2,1,1,2,3,1,2,1
三星_29390608142,2,2,1,1,2,2,2,1,1
三星_7004220,2,2,1,1,2,3,2,2,1
三星_7004500,2,2,1,1,1,3,2,2,1
三星_7005296,2,2,2,2,2,3,2,2,1
三星_7219095,2,2,2,1,2,3,2,2,1
三星_8249308,2,2,2,2,3,3,2,2,1
三星_8461429,2,2,2,2,2,3,2,2,1
华为_100001020297,2,2,2,2,3,2,2,1,1
华为_100001281764,2,2,2,2,4,2,2,1,1
华为_12704771446,2,2,2,2,3,1,3,2,1
华为_12943624332,2,2,2,2,4,1,3,1,1
华为_13020309101,2,2,2,2,2,3,3,2,1
华为_13886852041,2,2,2,2,3,1,3,2,1
华为_19432986830,2,2,2,1,3,1,3,1,1
华为_27116355738,2,2,2,2,3,1,2,1,1
华为_27116355740,2,2,2,2,3,1,2,1,2
华为_28694162118,2,2,2,1,3,2,2,1,1
华为_28694162119,2,2,2,1,3,2,2,1,1
华为_28975115707,2,2,2,1,3,2,2,1,1
华为_31204952899,2,2,2,2,4,2,2,1,1
华为_33383855318,2,2,2,2,3,1,3,1,1
华为_4224161,2,2,1,2,3,1,3,1,1
华为_6023686,2,2,2,2,3,3,3,2,1
华为_6736180,2,2,2,2,3,2,3,1,1
华为_7042875,2,2,2,2,2,2,3,2,1
华为_7275691,2,3,2,2,3,2,3,1,1
华为_7602800,2,3,2,2,3,2,3,1,1
华为_8248028,2,2,2,2,3,2,2,1,1
华为_8603190,2,2,3,2,3,3,3,2,1
华硕_100000018405,2,2,1,1,3,1,2,1,1
华硕_100000158780,2,2,2,2,4,2,2,1,1
华硕_100001120978,2,2,2,2,4,2,3,1,1
华硕_11547179904,2,2,1,2,2,1,2,1,1
华硕_12275775824,2,2,1,2,2,3,1,1,1
华硕_12275775844,2,2,2,2,1,3,1,1,1
华硕_14714452653,2,1,2,2,2,2,2,1,1
华硕_15895585883,2,1,2,2,3,3,1,2,1
华硕_20228173988,2,1,2,2,3,2,2,1,1
华硕_20446974627,2,1,2,2,2,3,1,2,1
华硕_28064042365,2,1,2,2,2,2,1,1,1
华硕_6224494,2,1,2,2,3,3,1,2,1
华硕_6396373,2,1,2,2,2,2,2,1,1
华硕_7174865,2,1,2,2,2,3,1,2,1
华硕_8311692,2,1,2,2,4,3,2,1,1
华硕_8636720,2,1,1,2,2,3,1,1,1
华硕_8776188,2,1,2,2,2,1,2,1,1
华硕_8848315,2,1,2,2,2,3,1,1,1
宏碁_100000068454,2,1,2,2,2,3,2,2,1
宏碁_100000074853,2,1,1,1,1,3,2,2,1
宏碁_100000233746,2,1,2,1,3,2,3,1,1
宏碁_100000319684,2,1,1,1,3,1,3,1,1
宏碁_100001269556,2,3,1,1,2,1,3,1,1
宏碁_11608675295,2,1,2,1,3,2,3,1,1
宏碁_11677933709,2,1,1,1,2,1,3,1,1
宏碁_17926457934,2,1,2,1,2,3,1,2,1
宏碁_24422970007,2,1,2,1,3,3,1,2,1
宏碁_27581417967,2,1,1,1,2,1,2,1,1
宏碁_28299873387,2,1,1,1,3,1,3,1,1
宏碁_3682513,2,2,1,1,2,3,1,2,1
宏碁_4005351,2,2,1,1,2,2,2,1,1
宏碁_4057206,2,2,1,1,2,3,2,2,1
宏碁_4145282,2,2,1,1,1,2,2,2,1
宏碁_4739958,2,2,1,1,2,2,3,1,1
宏碁_7056182,2,1,2,2,2,2,3,1,1
小米_100000011341,2,1,2,2,2,3,1,2,1
小米_100000011349,2,1,2,2,2,3,1,2,1
小米_100000462322,2,2,2,2,3,1,2,1,1
小米_100001239800,2,2,2,2,2,1,3,1,1
小米_11095188261,2,2,2,2,3,1,3,1,1
